sample size,8
realizations,10
r0-,1.0
r0+,10.0
r0_d,0.1
mu,0.0551
seed,729735257



r0,log10 r0,MLE r,MLE log10 r,MLE s^,MLE s,MLE_EM r,MLE_EM log10 r,MLE_EM s^,MLE_EM s,MOM r,MOM log10 r,MOM s^,MOM s,Failures,Successes,Failure Rate
3.1000000000000005,0.49136169383427275,1.0010010744435747,4.3454363782520174E-4,NaN,0.0,1.3954263491473549,0.14357775571721504,0.13890520560365652,0.03363205402975273,1.0621853650100002,0.02620031333317873,0.0,0.0,40.0,10.0,0.8
9.610000000000001,0.9827233876685455,1.0010010744435747,4.3454363782520174E-4,NaN,0.0,1.4438791319525668,0.15953083968579446,0.15953083968579446,2.925694557147251E-17,1.0621853650100002,0.02620031333317873,0.0,0.0,41.0,10.0,0.803921568627451
